Annotator 1,Annotator 2(Yasitha),Phrase
joy,Joy,මේ වැඩපිලිවෙල දිගටම කරගෙන යනවා නමි හොදයි.
,disgust,ෙම් වැඩේ සතියක් කරයි. පස්සේ නවත්තයි. අන්තිමට ඉතින් අහිංසක මිනිස්සුන්ට වේනනේ අතරමැදියෝ නිසා වැඩිගානට විකුනන්නයි.
,,මෙහෙම අරගෙන මොකද කරන්නේ? කොළඹට අඩුවට දෙනවද? නැත්නම් කුනුවෙන්න අරිනවද?
,,ඉතා වැදගත්
,,ඇමතිවරුන් නොදන්නා කමද? තේරුම් ගන්න බැරි නිසාද ජනාධිපතිතුමා නියම කරනකම් බලාගෙන හිටියේ.
,,රජය ලකුනු දාගන්න වැඩ නොකර ඉදිරියේදීවත් මෙවැනි දේවල් නොවීමට සුදුසු වැඩ පිලිවෙලක් සකස් කරන්න. අද රටේ මිනිසුන් කොතරමි අසීරුතාවයකින්ද ජීවත් වෙන්නේ.
,sadness,අනේ මේ එළවළු අපිට කොළඹට ගෙනත් දෙන්න.
sadness, sadness,දැයට කිරුළ වැඩක් නැහැ. අහිංසක මිනිස්සුන්ට පිහිටවෙන්න.
sadness,sadness,මේ මිනිස්සු මේ දේවල් වගා කරන්න කොයිතරම් ලොකු දුකක් විදින්න ඇත්ද? අවසානයේ අස්වැන්න දිහා බලාගෙන හූල්ලන්න වෙලා. කරපු වියදම කොයිතරම් අපරාදෙයක්ද. මේ රටට මේ දේවල වටිනාකමක් නැද්ද? ජනාධිපතිම මේ දේවල් වලට මැදිහත් වෙන්න අවශ්‍ය නම් ඇමතිලා මොකටද? අපේ රට මුල ඉදන්ම ප්‍රතිසංස්කරණය විය යුතුයි.
,sadness,විසි කරන්න පෙර ජනාධිපතිතුමාව දැනුම්වත් කරන්න තිබුනා.
,,මෙවැනි තීන්දුවක් විෂය බාර ඇමතිතුමාට ගන්න බැරි වුනේ ඇයි. මින් ඉදිරියටත් මේ ක්‍රමය අනුගමනය කිරීම ඉතා වැදගත්.
,,මම නිකම්ද කියන්නේ ලංකාවේ තියෙන්නේ මාධ්‍ය සංදර්ශන කියලා.
,,අර මධ්‍යසාර කන්ටේනර් එක ගැන දැනගෙන නැතුවෙයි.
,,අපි වවමු. අපි වැනසෙමු.
,,දැන් ඉතින් බුදු බව පතලා ප්‍රතිචාර දායි
,,රජය එළවලු මිළයට අරන් පන්සල් වලට බෙදා දෙන්න අදහස් කරනවා වෙන්නත් පුළුවන්.
,,අඩන්නම ඕනෑලු කිරි එරෙන්න.
anger,anger,විනාශ කරන්න එපා
sadness,sadness,ඒ අහිංසක මිනිසුන්ට පිහිට වෙන්න
,Joy,අනේ හොදයි
,disgust,කිලෝ ලක්ෂයක් විසිකෙරුවට පස්සේ විසදුම් හොයන්න ඇමති කෙනෙකුයි අමාත්‍යංශයකුයි අවශ්‍ය නැහැ.
,,පිටරටවල ඕනෑතරම් ඉල්ලුම තියෙනවා හොඳ එළවළු වලට. එම්බසි වලට පුළුවන් යමක් කරන්න.
joy,Joy,මෙවන් දේ කියවන්න දකින්න ලැබීම මහ පිනක්.
joy,,මහා සත්කාරයකට දායකවෙන ඔබ සැමට ජය ශ්‍රී මහා බෝ සමිඳු පිහිටයි...!!!!!
,,තම ජීවිත නොතකුවේය සිදුවිය හැකි අනතුරේ.. දිනපතාම වැඩ කෙරුවේ පා තබමින් පොලු අතරේ.. සතුටු සිතින් අප වෙනුවෙන් දහඩිය සෙලු සැම මිතුරේ.. ඔබේ ශ්‍රමය බැබලෙව්වා රන් වැලි සෑ අනුරපුරේ.
joy,,අපිටත් දායකවෙන්න පුලුවන් නම් ... සාදු සාදු සාදු !
,,විශ්වයේ තිබෙන බුද්ධ රෂ්මි බලයෙන්ද සම්‍යක් දෘෂ්ඨික දෙවිදේවතාවුන්ගේ බලයෙන්ද ඔබ සැම ආරක්ෂා වී ඇත.
joy,,සාධු...සාධු...සාධු...
joy,Joy,මේ උතුම් පින්කමට සහභාගීවෙන්න ලැබීමත් ලොකු පින්කමක්.
,,ඉදිරි දිනයක හුණු පිරියම් කිරීමේ පිංකමේ බැතිබර දායකත්වය දැරීම සදහා කොතරම් මුදලක් අවශ්‍ය වන්නේදැයි විමසා පිළිතුරු දෙන මෙන් ස්තුති පුර්වකව ඉල්ලා සිටින්නෙමු.
joy,,ඔබ සැමට ජය ශ්‍රී මහ බෝ සමිදු පිහිටයි
joy,,ඔබ සැම සියලු දෙනාටම ඇති උතුම් ජය ශ්‍රී මහා බෝ සමිදු රැකවරණය ලැබේව තවට් මෙවන් උතුම් පින්කම් සිදු කීරීමට දධර්ය ශක්තිය ලැබේවා.
joy,,මේඔබ සැමට ජය ශ්‍රී මහ බෝ සමිදු පිහිටයි...උතුම් පින්කමට සහභාගීවෙන්න ලැබීමත් ලොකු පින්කමක්.
,,වැදගත් ලිපියක්.
joy,joy,උතුම් පුණ්‍යකර්මයට සහභාගි වූ සියලු දෙනාට සම්මා සම්බුදු සරණයි!
joy,joy,2011-මේ උතුම් පින්කමට සහභාගීවෙන්න ලැබීම ලොකු පින්කමක්.
joy,joy,හොඳ වැඩක් කරන්නේ‍. ඔබලා සියලු දෙනාටම බුදු සරණයි.
joy,joy,ඉතා හොඳයි. ඔබට දෙවියන්ගේ ආශිර්වාදය !
joy,joy,සාදු සාදු අනුමෝදම් .... මෙවනිපින්කම් බොහෝ වැදගත්.
joy,joy,සාදු සාදු අනුමෝදම්. මෙවැනි පින්කම් බොහෝ වැදගත්.
joy,joy,ලස්සනයි..
joy,joy,ඔබ සැමට ජය ශ්‍රී මහ බෝ සමිදු පිහිටයි...
joy,joy,මේ ඉන්නෙත් ජාතික වීරයෝ පිරිසක් .
joy,joy,විශ්වයේ තිබෙන බුද්ධ රෂ්මි බලයෙන්ද සම්‍යක් දෘෂ්ඨික දෙවි දේවතාවුන්ගේ බලයෙන්ද ඔබ සැම ආරක්ෂා වී ඇත. සැමට ජය ශ්‍රී මහ බෝ සමිදු පිහිටයි!
